Book, Chapter, Verse, Text
"2TH","2","2","के कुसै आत्मा, जां वचन, जां चिठ्ठी थमां, ए समझियै, के प्रभु दा औने दा देन कोल आई पूजे दा ऐ, थूआड़ा मन चानक नराश नेई ओई जा ते नां तोस कबराओ।"
"2TH","2","3","किसै बी चाली कुसे दियें गलत गल्लें दे तोखे च नेई आयो, किके ओ परमेसर दा देन नेई औना जेलै तकर लोक तर्म दे खलाफ नेई ओई जान, ते ओ पाप दा पोर्ष मतलब वनाश दा पुत्र परकट नेई ओई जा।"
"2TH","2","4","जेड़ा वरोध करदा ऐ, ओ परमेसर दै खलाफ ते अर एक जीसी लोक परमेसर आला लेखा मनदे न ते उसदी अराधना करदे न, ते ए अपने आप गी सबनी कोला बड्डा समझदा ऐ, इत्थें तकर के ओ परमेसर दे मंदर च बैईयै अपने आप गी परमेसर आखदा ऐ।"
"2TH","2","5","तुसेंगी चेता नेई,जेलै आऊँ थूआड़े थिस्सलुनीकियों दै शैर च हा,ते थूआड़े कन्नें ए गल्लां मेशा करदा हा?"
"2TH","2","6","ते अजां तकर पाप दा पोर्ष परकट नेई ओया,एक चीज जेड़ी उसी रोकै करदी ऐ,जेस लै परमेसर दा अपना बेला औग तां ओ पाप दा पोर्ष परकट ओग।"
"2TH","2","7","पाप दे पोर्ष दी गोप्त शक्ति अजां बी कम करा करदी ऐ,लेकन ओ अप्पुं परकट नेई उया करदा ऐ, एस लेई जेस लै ओ रोकने आला दुनिया चा कढ़ी नेई दिती जाग,ओ रुके दा रौग।"
"2TH","2","8","ओस लै ओ पाप दा पोर्ष परकट ओग, जिसी प्रभु यीशु अपने मुँह दी फूक कन्नें मारी ओडग, ते अपनी वापस आनेदी शक्ति कन्नें अग्गी आला लेखा पस्म करी देग।"
"2TH","2","9","ओस पाप दे पोर्ष दा औना शतान दी शक्ति दे मताबक सारे चाली दे चुठ्ठे चमत्कार, ते चेन्न,ते अद्भोद कम दै कन्नें,"
"2TH","2","10","ते पाप दै अर चाली दे तोखे च औने आलें गी परमेसर नाश करग; किके उनें सच्चाई दे प्रचार गी ख़ुशी कन्नें ग्रेण नेई कित्ता जेस कन्नें उन्दा उद्धार ओंदा।"
"2TH","2","11","ते इसै कारन परमेसर उन्दे च एक पूरी चाली कन्नें पडकाई देने आली शक्ति गी पेजग के परमेसर उनेंगी बड्डा तोखा खाने दा कारन बना ते ओ ओस चुठे दा विश्वास करन,"
"2TH","2","12","तांजे जिन्नें लोक सच्चाई उपर विश्वास नेई करदे, लेकन अतर्म कन्नें खोश ओदे न, ओ सारे सज़ा पागन।"
"2TH","2","13","ए विश्वासी प्राओ, ते प्रभु दे प्यारे लोको, ए ठीक ऐ, के अस थूआड़े बारै च मेशा परमेसर दा शुक्र करदे रौचै, किके परमेसर ने सृष्टि बनाने थमां पैलें तुसेंगी चुनी लेता, के पवित्र आत्मा थमां पवित्र बनियै, ते सच्चाई गी तुपियै मुक्ति पाओ,"
"2TH","2","14","जेस लेई ओनें तुसेंगी साडे शोभ समाचार सुनाने थमां बुलाया, के तोस साडे प्रभु यीशु मसीह दी मैमा गी आसल करो।"
"2TH","2","15","एस करी ए विश्वासी प्राओ, टिके दे रबो; ते जेड़ियां-जेड़ीयां गल्लां तुसें पाबें वचन जां चिठ्ठी थमां साडे कोला सिखयाँ, उनेंगी पकड़ीयै रखो।"
"2TH","2","16","अस साडे प्रभु यीशु मसीह दै अगें अप्पुं गै प्रार्थना करनयां, ते साड़ा पिता परमेसर, जेन्नें साडे कन्नें प्यार कित्ता ते अपनी क्रपा कन्नें मेशा दी शान्ति ते बड्डी आस दिती ऐ,"
"2TH","2","17","आऊँ प्रार्थना करना,के ओ थूआड़े मनें च शान्ति ते मजबूती रवै,जेड़ीयां अच्छियाँ गल्लां तोस अखदे ते करदे ओ।"
"2TH","3","1","खीरी च, ए विश्वासी प्राओ, साडे लेई प्रार्थना करयो, के प्रभु दा वचन तेजी कन्नें अर जगा फलाने दै जोग बनचै, ते उसी मैमा मिलै, जियां थूआड़े च ओया,"
"2TH","3","2","ते साडे लेई प्रार्थना करो के परमेसर असेंगी बुरे ते दुष्ट लोकें थमां बचा किके मते सारे न जेड़े एस शोभ समाचार उपर विश्वास नेई करदे।"
"2TH","3","3","लेकन प्रभु परोसा करने दे जोग ऐ; ओ तुसेंगी आत्मिक रीती च तकडा करग ते दुष्ट कोला बचाग ते ओ थूआड़ा केछ नुकसान नेई करी सकग।"
"2TH","3","4","प्रभु यीशु च थूआड़े उपर असेंगी विश्वास ऐ, के जेडे-जेडे उक्म असें तुसेंगी दिते दे हे, उनेंगी तोस मनदे ओ, ते मनदे बी रौगे।"
"2TH","3","5","अस प्रार्थना करनयां,के तोस परमेसर दे प्यार गी समझी सको ते मसीह सतावो च तुसेंगी बचा ते जियां ओस बचाया बी ऐ।"
"2TH","3","6","ए विश्वासी प्राओ, अस तुसेंगी अपने प्रभु यीशु मसीह दे नां च उक्म दिनयां न, के तोस अर एक ऐसे प्रा कोला लग्ग रबो, जेडा आलस च रौंदा ऐ, ते ओ ओस शिखया गी नेई मनदा,जेड़ी असें तुसेंगी दिती दी ऐ।"
"2TH","3","7","किके तोस अप्पुं जांनदे ओ, के केस तरीके साडे आला लेखा चलना चाईदा, किके अस जेस लै थूआड़े कन्नें रौंदे हे, असें आलस नेई पर कम करदे हे,"
"2TH","3","8","ते कुसे दी रूट्टी मोफ़्त च नेई खादी, लेकन मेंनत ते कष्ट कन्नें रात देन कम तन्धा करदे हे, के असें थूआड़े कोला केछ नेई मंगया, के तोस साड़ीयां जरुरतां पूरीयां करो।"
"2TH","3","9","ए नेई के असेंगी थूआड़े उपर अख्त्यार नेई, लेकन एस आसतै के अपने आप गी थूआड़े लेई नमूंना बनचै, के तोस साडे आला लेखा चाल चलो।"
"2TH","3","10","किके जदू अस थूआड़े इत्थें रौंदे हे, ओस लै बी ईयै उक्म दिन्दे हे, के जेड़ा कोई कम करना नेई चा तां रुट्टी बी नेई खा।"
"2TH","3","11","अस सुननयां न,के किन्नें लोक थूआड़े च आलसी चाल चलदे न, ते केछ कम नेई करदे, लेकन ओ लगातार दुऐं दे कम च बिगन पांदे न।"
"2TH","3","12","ऐसे लोकें गी अस प्रभु यीशु मसीह च उक्म दिनयां ते समझानयां न, के चोप्प चाप कमाई करयै अपनी गै रूट्टी खा करो।"
"2TH","3","13","ते तोस, ए विश्वासी प्राओ, पलाई करने च इम्त नेई छुडो,आलां के तोस थक्की बी जंदे ओगे।"
"2TH","3","14","जेकर कोई साडी एस चिठ्ठी गी शिखया दी गल्ल गी नेई मन्नें तां ओदे उपर नजर रखो,ते ओदे कन्नें संगति नेई रखो, जेदे कन्नें उसी शर्म आई जा।"
"2TH","3","15","तां बी ओदे कन्नें बैर नेई रखो, लेकन अपने प्रा आला लेखा उसी समझायो।"
"2TH","3","16","आऊँ प्रभु दै अगें प्रार्थना करना,के असेंगी शान्ति देने दा कारन जेड़ा परमेसर ऐ, तुसेंगी शान्ति अर बेलै ते अर चाली लगातार दिन्दा रवै। ते ओ थूआड़े सबनी दे कन्नें रवै।"
"2TH","3","17","आऊँ, पौलुस,अपने अथ्थें कन्नें नमश्कार लिखना ऐं। अर चिठ्ठी च मेरा ईयै चेन्न ऐ; आऊँ इसै चाली लिखना ऐं।"
"2TH","3","18","आऊँ प्रार्थना करना ऐं, के साडे प्रभु यीशु मसीह दी क्रपा थूआड़े सबनी दे उपर ओंदी रवै।"
