Book, Chapter, Verse, Text
"2TH","1","11","हाम्हैं करा तम्हां लै कबल्ली प्राथणां इहअ बोली कि परमेशर तम्हां तेही ज़िन्दगी ज़िऊंणै जोगी बणांए ज़ेता लै तेऊ तम्हैं शादै दै आसा। हाम्हैं करा एही अरज़ बी कि सह तम्हां लै तिन्नां सोभी भली गल्ला करने शगती दैए ज़ुंण थारअ विश्वास तम्हां करना लै बोला।"
"2TH","1","12","हाम्हैं करा एही प्राथणां एते तैणीं कि तम्हां करै लोग म्हारै प्रभू ईशूओ नांअ सराहे और तम्हैं मसीहे हणैं पिछ़ू थारअ अदर होए। इहअ हणअ किल्हैकि म्हारअ परमेशर और प्रभू ईशू मसीहा आसा तम्हां लै खास्सअ झणैल़ू। ()"
"2TH","2","1","भाईओ, हाम्हैं लाई तम्हां का धख गल्ला ईशू मसीहे फिरी एछणें बारै और तेऊ बगते बारै खोज़ी ज़ेभै हाम्हां सोभै कठा तेऊ का मिलणैं।"
"2TH","2","2","तम्हैं निं आपणीं सोठा दी धखी का झाखुई आथी या इहअ शूणीं करै कि प्रभू एछणें सह धैल़ी आसा एछी मुक्की दी। कई सका तम्हां लै इहअ समाद खोज़ी या बैण खोज़ी या च़िठी दैई कि अह आसा तम्हां लै हाम्हां बाखा आई दी।"
"2TH","2","3","लोगे इना एही झ़ुठी गल्ला दी विश्वास करी करै निं कबाता पल़ी किल्हैकि मसीहा फिरी एछणैं का पैहलै एछणअ इहअ बगत तेभै हणैं खास्सै लोग परमेशरे खलाफ। ज़ुंण बूरअ मणछ परमेशरा नरकै खतम करनअ सह हणअ तेभै प्रगट।"
"2TH","2","4","तेऊ करनअ परमेशरो और तिन्नां सोभी गल्लो बरोध ज़ेता लोग पूज़ा और देअ बोला और तेऊ बोल़णअ इहअ कि सह आसा इना सोभी का महान। होर ता होर तेऊ बूरै मणछा बोल़णअ परमेशरे मांदरै बेशी करै सोभी का कि सह आसा आप्पू ई परमेशर। ()"
"2TH","2","5","तम्हां कै आद निं रही कि ज़धू हुंह तिधी तम्हां सेटा त, ता हुंह करा त इना गल्ला तम्हां का खोज़ी?"
"2TH","2","6","एभै निं सह बूरअ मणछ प्रगट हुअ आथी किल्हैकि किज़ै ता आसा ज़ुंणी सह रोक्की आसा डाहअ द। तम्हां हणअ आद कि कुंणी आसा सह रोक्की डाहअ द। सह बूरअ मणछ हणअ तेभै आप्पै प्रगट ज़ेभै परमेशरै डाहअ द सह बगत एछे।"
"2TH","2","7","किल्हैकि तेऊ बूरै मणछे शगती करा अज़ी गुप्त रुपै एऊ संसारै परमेशरे खलाफ काम। पर एक आसा इहअ ज़ुंणी सह शगती रोक्की आसा डाही दी और तेऊ डाहणीं सह तेभै तैणीं रोक्की ज़ेभै तैणीं परमेशर तेऊ दूर नां करे।"
"2TH","2","8","तेखअ हणअ सह बूरअ मणछ प्रगट, पर बादा का ज़ांऊं प्रभू ईशू एछणअ तेऊ करनअ सह बूरअ मणछ आपणीं खाखा का एक बैण बोली और आपणैं एछणें प्रतपा करै खतम। ()"
"2TH","2","9","तेऊ बूरै मणछा लै दैणीं शैताना आपणीं शगती। तेऊ करनै कई रंगे नछ़ैण और च़मत्कार और लोगा सोठणअ इहअ कि एता आसा परमेशर लागअ द करदअ।"
"2TH","2","10","तेऊ करनअ तिन्नां लै सोभी साबै बूरअ और तिंयां पाणै कबाता ज़ुंण परमेशरा करै बरैबाद हणैं। किल्हैकि तिंयां हुधूऐ तेसा झ़ूरी और तेऊ सत्ता मनणै का ज़ुंणी तिंयां बच़ाऊऐ दै आसा।"
"2TH","2","11","तैही छ़ाडणीं परमेशरा एही शगती ज़ुंण तिन्नां सत्ता का कबाता पाए और तिंयां झ़ुठी गल्ला दी विश्वास करे।"
"2TH","2","12","ज़ेतरै लोग सत्ता दी विश्वास नांईं करदै पर पाप करनै करै खुश रहा, तिन्नां सोभी लै भेटणीं सज़ा।"
"2TH","2","13","भाईओ, तम्हां लागा हर बगत परमेशरो शूकर करनअ, तम्हां लै करा प्रभू झ़ूरी किल्हैकि परमेशरै आसा पैहलै ई तम्हैं पबित्र आत्मां करै पापा का दूर किऐ दै और थारै विश्वास करनै पिछ़ू उद्धार हणां लै छ़ांटै दै। ()"
"2TH","2","14","ज़ुंण खुशीओ समाद तम्हां का हाम्हैं खोज़अ तेता करै शादै तेऊ तम्हैं उद्धार हणां लै ताकि तम्हां म्हारै प्रभू ईशूए महिमां दी साझ़ू हई सके।"
"2TH","2","15","तैहीता भाईओ, पाक्कै रहा टेकी, तिन्नां गल्ला दी डाहा विश्वास ज़ुंण हाम्हैं तम्हां संघै रहंदी या तम्हां लै च़िठी लिखी करै सखाऊई।"
"2TH","2","16","हाम्हैं करा आपणैं प्रभू ईशू मसीहा और म्हारै बाप्पू का प्राथणां ज़ुंण हाम्हां लै झ़ूरी करा और सह ज़सरअ जश हाम्हां लै सदा लै हैअ और पाक्की आशा दैआ।"
"2TH","2","17","हुंह करा प्राथणां कि परमेशर तम्हां लै हैअ दैए और तम्हां लै एही तागत दैए कि तम्हैं हर बगत भली गल्ला करदै और खोज़दै रहे।"
"2TH","3","1","भाईओ, खिरी बोला हुंह इहअ कि हाम्हां लै बी करा प्राथणां कि ज़ेतरअ छ़ेकै हई सके हाम्हैं प्रभू ईशूओ खुशीओ समाद हर ज़ैगा खोज़ी सके और ज़िहअ तम्हैं विश्वास किअ तिहै होर लोग बी विश्वास करी सके।"
"2TH","3","2","एता लै बी करा प्राथणां कि परमेशर हाम्हां बूरै और कदुष्ट लोगा का बी बच़ाऊई डाहे कि तिंयां हाम्हां लै कष्ट नां दैए, किल्हैकि कई लोग ज़ुंणी ईशू मसीहे बारै समाद शूणअ तिंयां निं विश्वास करदै।"
"2TH","3","3","पर तम्हैं सका प्रभू दी पूरअ भरोस्सअ डाही, तेऊ करनै तम्हैं भितरा का पाक्कै और बच़ाऊई ताकि सह शैतान तम्हां लै कष्ट नां दैए।"
"2TH","3","4","हाम्हां आसा प्रभू दी भरोस्सअ कि हाम्हैं तम्हां लै ज़िहअ करना लै बोलअ त तम्हैं करा तिहअ ई और आजू बी रहणैं तम्हैं करदै लागी।"
"2TH","3","5","हाम्हैं करा प्राथणां कि म्हारअ प्रभू ईशू मसीहा एसा गल्ला थारै दिलै पाए कि परमेशर तम्हां लै केतरी झ़ूरी करा और ज़ेभै लोग तम्हां कष्ट दैए तेभै सह सबर करना लै थारी मज़त करे ज़ेही तेऊ आप्पू सबर किअ।"
"2TH","3","6","भाईओ, ज़ुंण हक हाम्हां लै प्रभू ईशू आसा दैनअ द तेता करै दैआ हाम्हैं तम्हां लै हुकम कि इहै विश्वासी का रहा ज़ुदै ज़ुंण किछ़ै काम निं करदै और म्हारी खोज़ी दी तिन्नां शिक्षे साबै आपणीं ज़िन्दगी निं ज़िऊंदअ।"
"2TH","3","7","किल्हैकि तम्हां का आसा राम्बल़ै करै थोघ कि तम्हां लागा तेऊ साबै ज़िन्दगी ज़िऊंणीं ज़ेही म्हारी ज़िन्दगी आसा। ज़धू हाम्हैं तम्हां मांझ़ै तै हाम्हैं निं बेकार रहै हाम्हैं किअ काम।"
"2TH","3","8","हाम्हैं निं कोहिए रोटी मुफ्त खाई, पर मैन्थ और कष्ट करी करै राची धैल़ी करा तै आप्पू काम, ताकि हाम्हैं तम्हां मांझ़ै कोही लै बी बोझ़ नां होए।"
"2TH","3","9","हाम्हां आसा अह बी हक कि हाम्हैं आपणीं ज़रुरता पूरी करना लै थारी आशा रहे किल्हैकि हुंह आसा शधाणूं, पर हाम्हैं की खास्सी मैन्थ ताकि तम्हां लै उदाहरण बणीं सके और तम्हैं बी तिहअ ई करे ज़िहअ म्हारअ बभार आसा।"
"2TH","3","10","ता ज़धू हाम्हैं तम्हां सेटा तै तधू रहा तै हाम्हैं तम्हां लै इहअ बोलदै लागी, “ज़ै कुंण काम नांईं करनअ च़ाहंदअ ता सह निं खाई बी आथी।”"
"2TH","3","11","हाम्हैं शूणअ इहअ बी कि कई लोग आसा तम्हां मांझ़ै इहै बी ज़ुंण आप्पू किछ़ै काम निं करदै, पर होरीए कामां दी पाआ खरोल़।"
"2TH","3","12","इहै लै दैआ हाम्हैं प्रभू ईशू दी हुकम और तिन्नां समझ़ाऊआ कि च़ुप-च़ुपै खाआ आपणैं ढबै खटी करै रोटी।"
"2TH","3","13","भलै काम करनै निं छ़ाडी किल्हैकि तम्हैं आसा थकै दै।"
"2TH","3","14","ज़ै कोई म्हारी एसा च़िठीए गल्ला नांईं मनें, ता तेऊ दी डाहै धैन और तेऊ का रहा ज़ुदै, ताकि सह शर्मिंदअ होए।"
"2TH","3","15","पर तैबी निं तेऊ संघै दुशमणा ज़िहअ बभार करी, पर तेऊ समझ़ाऊआ तिहै ज़िहै तम्हैं आपणैं भाई-भाऊ समझ़ाऊअ।"
"2TH","3","16","हुंह करा प्रभू का प्राथणां ज़ुंण शांती दैणैंओ मूल़ आसा, सह तम्हां लै हर बाता सदा शांती दैए। हुंह करा प्राथणां कि प्रभू लोल़ी तम्हां सोभी संघै कबल्लअ रहअ।"
"2TH","3","17","हुंह पल़सी लिखा तम्हां लै आपणैं हाथै राज़ी-खुशी और हर च़िठी दी आसा मेरअ अहैई नछ़ैण और हुंह लिखा इहअ ई ताकि सोभी का थोघ लागे कि च़िठी आसा मुंह बाखा।"
"2TH","3","18","हुंह करा परमेशरा का अरज़ कि हाम्हां सोभिए प्रभू ईशूए झींण लोल़ी सदा तम्हां सोभी लै हुई।"
