Book, Chapter, Verse, Text
"1JN","2","22","झूठा कुण सा? सिर्फ़ सौ ऐ ज़ुण यीशु रै मसीह होंणै रा नाँ केरा सा; होर मसीह रा बरोधी सौ ऐसा, ज़ो पिता परमेश्वर होर बेटै यीशु मसीह रा नाँ केरा सा।"
"1JN","2","23","ज़ो कोई बेटै रा नाँह केरा सा तेई हागै पिता परमेश्वर बी नैंई ज़ो बेटै बै मना सा, तेई हागै बापू परमेश्वर भी सा।"
"1JN","2","24","ज़ैबै तुसै मसीह न बशाह केरू ती, तुसै ज़ो सच़ा सन्देश शुणु सा, अगर सौ तुसा न बणीया रौहु ता तुसै भी बेटै, होर पिता परमेश्वरा न बणीया रौहणा।"
"1JN","2","25","होर ज़ुणिरा तेइयै (प्रभु यीशुऐ) आसा सैंघै वायदा केरू सा कि सौ आसाबै हमेशा री ज़िन्दगी देला ।"
"1JN","2","26","हांऊँ तुसाबै तिन्हां लोका रै बारै न चेताऊणी देआ सा कि ज़ो तुसाबै झ़ूठी शिक्षा देइआ धोखा देणै री कोशिश केरा सी।"
"1JN","2","27","होर तुसरी तैंईंयैं पवित्र आत्मा सैंघै अभिषेक केरू सा, ज़ो तुसै मसीह न पाई सा, तुसा न सा होर तैबै ऐ कोई बै जरूरत नी ऑथि कि तुसाबै सच़ाई रै बारै न शिक्षा दै, एथा रै बदलै न पवित्र आत्मा (ज़ो मसीहै तुसाबै धिनी सा) तिन्हां गैला री सच़ाई रै बारै न ज़ाणनै बै तुसरी मज़त केरला, होर ज़ो पवित्र आत्मा तुसाबै सिखा सा सौ पूरा सच़ सा, एथा न किछ़ बी झ़ुठ नी ऑथि। तैबै मसीह सैंघै बणिया रौहा, ज़ैण्ढा पवित्र आत्मै तुसाबै केरनै री तैंईंयैं बोलू सा।"
"1JN","2","28","तैबै हे शोहरूओ, तेईन बणिया रौहा ज़ैबै सौ जाहिर होला ता आसाबै हौंसला हो, होर आसै तेई रै वापस ऐणै पैंधै तेइरै सामणे शर्मिंदा न हो"
"1JN","2","29","अगर तुसै जाँणा सी कि मसीह धर्मी सा, ता ऐ भी जाँणा सी कि ज़ो कोई धर्मा रा कोम केरा सा सौ परमेश्वरा री औलाद सा।"
"1JN","3","1","हेरा, बापूऐ आसा सैंघै कैण्ढी झ़ुरी डाही कि आसै परमेश्वरा रै औलाद कहलाऐ; होर आसै सी भी ऐई बजहा दुनिया आसाबै नैंई जाणदी, किबैकि दुनिया रै लोके भी प्रभु यीशु बै नैंई जाणु।"
"1JN","3","2","हे प्यारो, ऐबै आसै परमेश्वरा रै औलाद सी, होर हाज़ी तैंईंयैं ऐ जाहिर नैंई हुआ कि आसै कि किछ़ होलै! ऐतरा जाँणा सी कि ज़ैबै प्रभु यीशु प्रकट होला ता आसै तेई सांही होंणा, किबैकि तेइबै तैण्ढाऐ हेरणा ज़ैण्ढा सौ सा।"
"1JN","3","3","होर ज़ो कोई मसीह पैंधै ऐ आशा डाआ सा, सौ आपणै आपा बै तैण्ढाऐ पबित्र केरा सा ज़ैण्ढा सौ सा।"
"1JN","3","4","ज़ो कोई पाप केरा सा, सौ बिधाना रा बरोध केरा सा; होर पाप ता बिधाना रा बरोध केरा सा।"
"1JN","3","5","तुसै जाँणा सी कि यीशु मसीह, तैबै आऊ कि आसरै पापा बै खत्म केरै; होर तेई रै ज़िन्दगी न कोई पाप नैंई ऑथि।"
"1JN","3","6","होर ज़ो कोई प्रभु यीशु न बणीया रौहा सा, सौ पाप नैंई केरदा ज़ो कोई पाप केरा सा तेइयै सौ न भाल़ुदा सा होर न तेइबै जाँणा सा।"
"1JN","3","7","प्यारे शोहरूओ, कोई रै भरमाणै न मता ऐन्दै; ज़ो धर्मा रै कोम केरा सा, सौ ऐ मसीह रै बराबर धर्मी सा ।"
"1JN","3","8","ज़ो कोई पापा रै कोम केरदा रौहा सा शैताना री तरफा न सा। परमेश्वरा रा बेटा तैबै आऊ कि शैताना रा कोम नाश केरै।"
"1JN","3","9","ज़ो कोई परमेश्वरा न पैदा हुआ सा, सौ पाप नैंई केरदा; किबैकि परमेश्वरा रा बेज़ा तेईन बणीया रौहा सा, होर सौ पाप केरी ही नैंई सकदा किबैकि सौ परमेश्वरा न पैदा हुआ सा"
"1JN","3","10","ऊँई लाईया ही आसै परमेश्वरा री औलाद होर शैताना रै औलाद बूझा सी; ज़ो कोई धर्मा रै कोम केरा सी सौ परमेश्वरा, होर ज़ुण लोका आपणै भाई सैंघै झ़ुरी डाह सी ते परमेश्वरा री धिरै न सी।"
"1JN","3","11","ज़ो समाद तुसै शुरू न शुणु सा, सौ ऐ सा कि आसै एकी दुज़ै सैंघै झ़ुरी डाहलै;"
"1JN","3","12","होर तुसै आदमा रै शोहरू कैना सांही मता बणदै, ज़ो तेई शैताना सैंघै ती, ज़ुणियै आपणा भाई मारू ती होर सौ किबै मारू? तैबै तेई रै कोम बूरै ती, होर तेई रै भाई रै कोम धर्मै रै ती।"
"1JN","3","13","हे भाइयो बैहणा, अगर दुनिया रै लोका तुसा सैंघै बैर डाहलै ता तुसै हैरान मता होंदै।"
"1JN","3","14","आसै जाँणा सी कि आसै मौऊती न पार होईया ज़िन्दगी न पुजै सी; किबैकि आसै भाई सैंघै झ़ुरी डाह सी। ज़ो झ़ुरी नैंई डांहदा सौ मौऊती री दशा न रौहा सा।"
"1JN","3","15","ज़ो कोई आपणै भाई सैंघै बैर डाह सा, सौ खूनी सा; तुसै जाँणा सी कि कोई खूनी न हमेशा री ज़िन्दगी नैंई रौंहदी ।"
"1JN","3","16","आसै झ़ुरी तैबै जाणी कि तेइयै आसरी तैंईंयैं आपणा प्राण धिना, तैबै आसाबै भी लोड़ी कि आपणै भाई री तैंईंयैं आपणा प्राण दै।"
"1JN","3","17","पर ज़ो कोई हागै दुनिया रा धन हो सौ आपणै भाई बै गरीब ज़ाणिया, तेई पैंधै तरस नैंई खाँदा हो, ता तेई हागै परमेश्वरा री झ़ुरी कैण्ढी तैरहा बणीया रौहणी।"
"1JN","3","18","ओ मेरै प्यारै शोहरूओ, आसै वचन होर जीभा सैंघै ही नैंई, पर कोम होर सच़ाई रै ज़रियै भी झ़ुरी डाहलै।"
"1JN","3","19","ज़ैबै आसै एकी दुज़ै सैंघै झ़ुरी रखा सी, ऊँई सैंघै ही आसै पछ़ियाणिया सी कि आसै सच़ाई रै सी; होर ज़ुणी गैला न आसरा मन आसाबै दोष देला, तेइरै बारै न यीशु मसीह रै सामनै आपणै-आपणै मना बै तसल्ली देई सकलै,"
"1JN","3","20","किबैकि परमेश्वर आसरै मना न बड़ा सा, होर सैभ किछ़ जाँणा सा।"
"1JN","3","21","हे मेरै प्यारै भाइयो, बैहणा, अगर आसरा मन आसाबै दोष न दै, ता आसाबै परमेश्वरा रै सामनै हौंसला होआ सा,"
"1JN","3","22","होर ज़ो किछ़ आसै मुँगा सी, सौ आसाबै तेईन मिला सा, किबैकि आसै तेइरै हुक्मा बै मना सी होर ज़ो तेइबै खुश केरा सा आसै सौऐ केरा सी।"
"1JN","3","23","परमेश्वरा रा हुक्म ऐ सा कि आसै तेई रै बेटै यीशु मसीह रै नाँह पैंधै बशाह केरलै, होर ज़ैण्ढी तेइयै आसाबै हुक्म धिना सा तेई रै मुताबक आपु न झ़ुरी डाहलै।"
"1JN","3","24","ज़ो तेइरै हुक्मा बै मना सी, ते परमेश्वरा न होर परमेश्वर तिन्हां न बणिया रौहणा होर तेथा रा, मतलब तेई पवित्र आत्मा न ज़ो तेइयै आसाबै धिनी सा, आसै जाँणा सी कि सौ आसा न सा।"
"1JN","4","1","ओ मेरै प्यारो, हर एक मांहणु बै झ़ुरी मता केरदै, बल्कि मांहणु बै परखा कि सौ परमेश्वरा री तरफा न सा कि नैंई; किबैकि बोहू झ़ूठै भविष्यवाणी केरनु आल़ै दुनिया न निकतै सी।"
"1JN","4","2","परमेश्वरै री आत्मा तुसै ऐण्ढी तैरहा पछ़ियाणी सका सी: ज़ो आत्मा ऐ मना सा कि यीशु मसीह मांहणु रा रूप लेयिआ आऊ सा सौ परमेश्वरा री तरफा न सा,"
"1JN","4","3","होर ज़ो आत्मा यीशु बै नैंई मनदी, सौ परमेश्वरा री तरफा न नैंई ऑथि; होर सौऐ ता मसीह बरोधी आत्मा सा, ज़ुणिरै बारै न तुसै पैहलै न ओरु शुणुदा सा कि सौ ऐणु आल़ा सा, होर सौ ऐबै भी दुनिया न सा।"
"1JN","4","4","ओ प्यारे शोहरूओ, तुसै परमेश्वरा रै सी, होर तुसै तिन्हां झ़ूठी भविष्यवाणी केरनु आल़ै न जीतू सा; किबैकि ज़ो पवित्र आत्मा तुसा न सा सौ तेई शैतानै री शक्ति न बड़ी सा ज़ो ऐई दुनिया न बड़ा सा।"
"1JN","4","5","तै झ़ूठी भविष्यवाणी केरनु आल़ै सी, ऐई बजहा न तैआ दुनिया री गैला केरा सी, होर दुनिया रै लोक तिन्हरी शुणा सी।"
"1JN","4","6","आसै परमेश्वरा रै सी। ज़ो परमेश्वरा बै जाँणा सा, सौ आसरी शुणा सा; होर ज़ो परमेश्वरा बै नैंई जाणदा सौ आसरी नैंई शुणदा। ऐई बजहा न आसै सच़ बोलणु आल़ा होर भरमाणै आल़ै री आत्मा बै पहचाणी सका सी।"
"1JN","4","7","हे प्यारो, आसै आपु न झ़ुरी डाहे; किबैकि झ़ुरी परमेश्वरा न सा, ज़ो कोई एकी दुज़ै सैंघै झ़ुरी डाह सा, सौ परमेश्वरा री औलाद सा होर परमेश्वरा बै जाँणा सा।"
"1JN","4","8","ज़ो कोई दुज़ै सैंघै झ़ुरी नैंई डाहन्दा सौ परमेश्वरा बै नैंई जाणदा, किबैकि परमेश्वर झ़ुरी सा।"
"1JN","4","9","ज़ो झ़ुरी परमेश्वर आसा सैंघै डाह सा, सौ ऊँई लाईया ऐ जाहिर हुआ कि परमेश्वरै आपणा इकलौता बेटा दुनिया न भेज़ू कि आसै तेइरै ज़रियै हमेशा री ज़िन्दगी पालै ।"
"1JN","4","10","सच़ी झ़ुरी ऊँई न नैंई ऑथि कि आसै परमेश्वरा सैंघै झ़ुरी केरी, पर ऊँई न सा कि तेइयै आसा सैंघै झ़ुरी डाही होर आसरै पापै रै प्रायश्चितै री तैंईंयैं आपणा बेटा भेज़ू।"
"1JN","4","11","हे मेरै प्यारो, ज़ैबै परमेश्वरै आसा सैंघै ऐण्ढी झ़ुरी डाही कि आसाबै भी आपु न झ़ुरी डाहणी चेहिऐ।"
"1JN","4","12","पर परमेश्वर कैधी कोइयै नैंई हेरू; अगर आसै आपु न झ़ुरी डाहलै, ता परमेशवर आसा न बणीया रौहा सा होर तेइरी झ़ुरी आसा न जाहिर होआ सा।"
"1JN","4","13","तैबै आसै जाँणा सी कि आसै परमेश्वरा न बणिया रौहा सी, होर सौ आसा न; किबैकि तेइयै आपणी आत्मा आसाबै धिनी सा।"
"1JN","4","14","आसै बेटा बी हेरू सा कि होर गुआही देआ सी कि बापू परमेश्वरै बेटै बै दुनिया रै लोक रा मुक्तिदाता केरिया भेज़ू सा।"
"1JN","4","15","ज़ो कोई ऐ मना सा कि यीशु परमेश्वरा रा बेटा सा, परमेश्वर तेइन बणीया रौहा सा, होर सौ परमेश्वरा न बणीया रौहा सा।"
"1JN","4","16","ज़ो झ़ुरी परमेश्वर आसा सैंघैं डाह सा, सौ आसै जाणु सा होर आसाबै तेइरा बशाह सा। परमेश्वर झ़ुरी सा, ज़ो झ़ुरी न बणीया रौहा सा, सौ परमेश्वर न बणीया रौहा सा, होर परमेश्वर तेईन बणीया रौहा सा।"
"1JN","4","17","ऊँई सैंघै ही झ़ुरी आसा न सिद्ध हुई सा कि न्याय रै रोज़ आसाबै हौंसला हो; ज़ैण्ढा सौ सा तैण्ढै ही दुनिया न आसै भी सी।"
"1JN","4","18","झ़ुरी न डौर नैंई होन्दी, बल्कि सच़ी झ़ुरी डौरा बै दूर केरा सा; किबैकि डौरा रा नाता सज़ा सैंघै होआ सा, पर ज़ो डौरा सा सौ झ़ुरी न सिद्ध नैंई बणु ।"
"1JN","4","19","आसै ऊँईरी तैंईंयैं झ़ुरी केरा सी, कि पैहलै परमेश्वरै आसा सैंघै झ़ुरी केरी।"
"1JN","4","20","अगर कोई बोले, “हांऊँ परमेश्वरा सैंघै झ़ुरी डाह सा” पर आपणै विश्वासी भाई सैंघै दुश्मनी डाह सा सौ झूठा सा; किबैकि ज़ो आपणै विश्वासी भाई सैंघै ज़ुणियै सौ हेरू सा, झ़ुरी नैंई केरदा, ता सौ परमेश्वरा सैंघै भी ज़ुणियै सौ हेरूदा नैंई झ़ुरी नैंई डाही सकदा।"
"1JN","4","21","ज़ुणीन आसाबै ऐ हुक्म मिलीदी सा कि ज़ो कोई परमेश्वरा सैंघै झ़ुरी डाह सा सौ आपणै विश्वासी भाई सैंघै भी झ़ुरी डाहै।"
"1JN","5","1","ज़ुणिरा ऐ बशाह सा कि यीशु ही मसीह सा, ज़ो परमेश्वर बापू री औलाद सा; होर ज़ो कोई बापू परमेश्वरा सैंघै झ़ुरी डाह सा, सौ तेइरी औलादा सैंघै बी झ़ुरी डाहा सा ।"
"1JN","5","2","ज़ैबै आसै परमेश्वरा सैंघै झ़ुरी डाह सी, हौर परमेश्वरा रै हुक्मा बै मना सी, ता ऊँई न बुझा सी कि आसै परमेश्वरा रै औलादा सैंघै झ़ुरी डाह सी।"
"1JN","5","3","परमेश्वरा सैंघै झ़ुरी डाहणा ऐ सा कि आसै तेइरी हुक्म बै मनलै; होर तेइरा हुक्म मुश्किल नैंई ऑथि।"
"1JN","5","4","किबैकि ज़ो कोई परमेश्वरा री औलाद सा, सौ दुनिया पैंधै जीत पा सा; होर बशाह रै ज़रियै आसै दुनिया पैंधै जीत पा सी ।"
"1JN","5","5","दुनिया न जीत पाणु आल़ा कुण सा? मतलब सौ ज़ुणिरा ऐ बशाह सा कि यीशु, परमेश्वरा रा बेटा सा।"
"1JN","5","6","यीशु मसीह रै बारै न सोच़ा, ज़ो परमेश्वरा री तरफा न आऊ; परमेश्वरै ऐ प्रगट केरु कि परमेश्वरै यीशु मसीह सच़ीऐ भेजु, ज़ैबै यीशुऐ पाणी न बपतिस्मा लेऊ; बल्कि ज़ैबै यीशु मसीह क्रूसा पैंधै मूँआ ता तेइरै शरीरा न लोहू निकता, होर परमेश्वरा री आत्मा गुआही देआ सा कि सच़ीऐ यीशु मसीह परमेश्वरा री तरफा न आऊ ती।"
"1JN","5","7","ऐ गुआही देणु आल़ै त्राई सी,"
"1JN","5","8","आत्मा, पाणी होर लोहू; त्राऐ गैला सा ज़ुणी सैंघै ऐ पता लागा सा कि मसीहा परमेश्वरा न आऊ सा ।"
"1JN","5","9","ज़ैबै आसै मांहणु री गुआही मना सी, ता परमेश्वरा री गुआही ता तेईन बड़ी सा; होर परमेश्वरा री गुआही ऐसा कि तेइयै आपणै बेटै रै बारै न गुआही धिनी सा।"
"1JN","5","10","ज़ो परमेश्वर रै बेटै पैंधै बशाह केरा सी सौ आपु न गुआही डाह सा। ज़ुणियै परमेश्वरा पैंधै बशाह नैंई केरू तेइयै सौ झूठा ठहराऊ, किबैकि तेइयै तेसा गुआही पैंधै बशाह नैंई केरू ज़ो परमेश्वरै आपणै बेटै रै बारै न धिनीदी सा।"
"1JN","5","11","होर सौ गुआही ऐसा कि परमेश्वरै आसाबै हमेशा री ज़िन्दगी धिनी सा, होर ऐ ज़िन्दगी तेई रै बेटै न सा।"
"1JN","5","12","ज़ुणी हागै बेटा सा, तेई हागै हमेशा री ज़िन्दगी सा, होर ज़ुणी हागै परमेश्वरा रा बेटा नैंई ऑथि, तेई हागै हमेशा री ज़िन्दगी भी नैंई ऑथि।"
"1JN","5","13","यूहन्ना बोला सा, मैं तुसाबै, ज़ो परमेश्वरा रै बेटै रै नाँ पैंधै बशाह केरा सी, ऊँईरी तैंईंयैं लिखा सा कि तुसै बुझा कि हमेशा री ज़िन्दगी तुसरी सा।"
"1JN","5","14","होर परमेश्वरा रै सामनै आसाबै ऐ हौंसला होआ सा, सौ ऐ सा; कि अगर आसै तेइरी इच्छा रै मुताबक किछ़ मौंगा सी, सौ आसरी शुणा सा"
"1JN","5","15","ज़ैबै आसै बुझा सी कि ज़ो किछ़ आसै परमेश्वरा न मूँगा सी सौ आसरी शुणा सा, ता ऐ भी बुझा सी कि ज़ो किछ़ आसै तेईन मुँगु, सौ पाऊ सा।"
"1JN","5","16","अगर कोई आपणै विश्वासी भाई बै ऐण्ढा पाप केरदा हेरू ज़ुणिरा नतीज़ा मौऊत नी ऑथि, ता अर्ज़ा केरलै, होर परमेश्वर तेइबै तिन्हरी तैंईंयैं, ज़ुणियै ऐण्ढा पाप केरू सा ज़ुणिरा नतीज़ा मौऊत नी ऑथि, ज़िन्दगी देला। पाप ऐण्ढा भी होआ सा ज़ुणिरा नतीज़ा मौऊत सा; ऊँई रै बारै न हांऊँ अर्ज़ा केरनै री तैंईंयैं नैंई बोलदा।"
"1JN","5","17","सैभी तैरहै रा अधर्म ता पाप सा पर ऐण्ढा पाप भी सा ज़ुणिरा नतीज़ा मौऊत नैंई ऑथि।"
"1JN","5","18","आसै जाँणा सी कि ज़ो कोई परमेश्वरा री औलाद सा, सौ पाप नैंई केरदा; तेइबै प्रभु यीशु बच्चाईया डाह सा, होर शैतान तेइबै छुई नैंई सकदा।"
"1JN","5","19","आसै बूझा सी कि आसै परमेश्वरा री तरफा न सी, होर सारी दुनिया तेई शैताना रै वशा न सा"
"1JN","5","20","आसै ऐ जाँणा सी कि परमेश्वरा रा बेटा यीशु मसीह ऐसा दुनिया न आऊ सा होर तेइयै आसाबै समझ धिनी सा कि आसै तेई सच़ाई बै पहचाणे; होर आसै तेईन ज़ो सच़ सा, मतलब तेई रै बेटै यीशु मसीह न रौहा सी। सच़ा परमेश्वर होर हमेशा री ज़िन्दगी ऐ सा।"
"1JN","5","21","हे शोहरूओ, आपणै आपा बै तिन्हां मूर्ति न बचाईया डाहत्, ज़ो तुसरै दिला न परमेश्वरा री ज़ैगा लेआ सा।"
